CICLO,ENTE,RAMO,SUBRAMO,PROGRAMA,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2024,Poder Legislativo,H. Cámara de Diputados,,R001,Ejercido,5968035393.13,1128949499.85,1919600730.38,20130430.45,9036716053.81,0.0,189400651.4,0.0,0.0,189400651.4,9226116705.21,97.94712491233668,0.0,2.0528750876633204
2024,Poder Legislativo,H. Cámara de Diputados,,R001,Porcentaje Ejer/Aprob,98.05465394819517,122.62557268812692,117.65464738337315,92.0248249142857,104.34385581914911,0.0,299.0285857714289,0.0,0.0,299.0285857714289,105.75734419987448,,0.0,
2024,Poder Legislativo,H. Cámara de Diputados,,R001,Porcentaje Ejer/Modif,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,,0.0,
2024,Poder Legislativo,Auditoría Superior de la Federación,,TOTAL,Aprobado,2479451571.0,330046992.0,0.0,11958517.0,2821457080.0,0.0,1135916.0,0.0,0.0,1135916.0,2822592996.0,99.95975629495256,0.0,0.0
2024,Poder Legislativo,Auditoría Superior de la Federación,,TOTAL,Modificado,2789293930.81,451864833.27,0.0,24163250.66,3265322014.74,0.0,63954177.34,0.0,0.0,63954177.34,3329276192.08,98.07903659383561,0.0,1.920963406164388
2024,Poder Legislativo,Auditoría Superior de la Federación,,TOTAL,Devengado,2789293930.81,451864833.27,0.0,24163250.66,3265322014.74,0.0,63954177.34,0.0,0.0,63954177.34,3329276192.08,98.07903659383561,0.0,1.920963406164388
2024,Poder Legislativo,Auditoría Superior de la Federación,,TOTAL,Ejercido,2789293930.81,451864833.27,0.0,24163250.66,3265322014.74,0.0,63954177.34,0.0,0.0,63954177.34,3329276192.08,98.07903659383561,0.0,1.920963406164388
2024,Poder Legislativo,Auditoría Superior de la Federación,,TOTAL,Porcentaje Ejer/Aprob,112.49640700524091,136.9092414785589,0.0,202.05892302532163,115.73176277910986,0.0,0.0,0.0,0.0,0.0,117.95098325539813,,0.0,
2024,Poder Legislativo,Auditoría Superior de la Federación,,TOTAL,Porcentaje Ejer/Modif,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,,0.0,
2024,Poder Legislativo,Auditoría Superior de la Federación,,R002,"Entregar a la Cámara de Diputados del H. Congreso de la Unión, el informe sobre la revisión de la Cuenta de la Hacienda Pública Federal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
2024,Poder Legislativo,Auditoría Superior de la Federación,,R002,Aprobado,2479451571.0,330046992.0,0.0,11958517.0,2821457080.0,0.0,1135916.0,0.0,0.0,1135916.0,2822592996.0,99.95975629495256,0.0,0.0
2024,Poder Legislativo,Auditoría Superior de la Federación,,R002,Modificado,2789293930.81,451864833.27,0.0,24163250.66,3265322014.74,0.0,63954177.34,0.0,0.0,63954177.34,3329276192.08,98.07903659383561,0.0,1.920963406164388
2024,Poder Legislativo,Auditoría Superior de la Federación,,R002,Devengado,2789293930.81,451864833.27,0.0,24163250.66,3265322014.74,0.0,63954177.34,0.0,0.0,63954177.34,3329276192.08,98.07903659383561,0.0,1.920963406164388
2024,Poder Legislativo,Auditoría Superior de la Federación,,R002,Ejercido,2789293930.81,451864833.27,0.0,24163250.66,3265322014.74,0.0,63954177.34,0.0,0.0,63954177.34,3329276192.08,98.07903659383561,0.0,1.920963406164388
2024,Poder Legislativo,Auditoría Superior de la Federación,,R002,Porcentaje Ejer/Aprob,112.49640700524091,136.9092414785589,0.0,202.05892302532163,115.73176277910986,0.0,0.0,0.0,0.0,0.0,117.95098325539813,,0.0,
2024,Poder Legislativo,Auditoría Superior de la Federación,,R002,Porcentaje Ejer/Modif,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,,0.0,
2024,Poder Legislativo,H. Cámara de Senadores,,TOTAL,Aprobado,2927794736.0,1971150991.0,0.0,11326000.0,4910271727.0,0.0,44910300.0,0.0,0.0,44910300.0,4955182027.0,99.09367002553506,0.0,0.906329974464932
2024,Poder Legislativo,H. Cámara de Senadores,,TOTAL,Modificado,3274276052.26,1728918693.58,0.0,17374063.81,5020568809.65,0.0,25138747.61,0.0,0.0,25138747.61,5045707557.26,99.50177953587837,0.0,0.4982204641216115
2024,Poder Legislativo,H. Cámara de Senadores,,TOTAL,Devengado,3274276052.26,1728918693.58,0.0,17374063.81,5020568809.65,0.0,25138747.61,0.0,0.0,25138747.61,5045707557.26,99.50177953587837,0.0,0.4982204641216115
2024,Poder Legislativo,H. Cámara de Senadores,,TOTAL,Ejercido,3274276052.26,1728918693.58,0.0,17374063.81,5020568809.65,0.0,25138747.61,0.0,0.0,25138747.61,5045707557.26,99.50177953587837,0.0,0.4982204641216115
2024,Poder Legislativo,H. Cámara de Senadores,,TOTAL,Porcentaje Ejer/Aprob,111.8342079108103,87.71112418449937,0.0,153.3998217375949,102.24625211764781,0.0,55.975461330696966,0.0,0.0,55.975461330696966,101.82688607132373,,0.0,
2024,Poder Legislativo,H. Cámara de Senadores,,TOTAL,Porcentaje Ejer/Modif,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,,0.0,
2024,Poder Legislativo,H. Cámara de Senadores,,K026,Otros Proyectos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
2024,Poder Legislativo,H. Cámara de Senadores,,K026,Aprobado,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,2400000.0,2400000.0,0.0,0.0,100.0
2024,Poder Legislativo,H. Cámara de Senadores,,K026,Modificado,0.0,0.0,0.0,0.0,0.0,0.0,5377866.65,0.0,0.0,5377866.65,5377866.65,0.0,0.0,100.0
2024,Poder Legislativo,H. Cámara de Senadores,,K026,Devengado,0.0,0.0,0.0,0.0,0.0,0.0,5377866.65,0.0,0.0,5377866.65,5377866.65,0.0,0.0,100.0
