Fecha,IPC
05/01/1988,5.646109
06/01/1988,5.761292
07/01/1988,5.857457
08/01/1988,5.911343
09/01/1988,5.945139
10/01/1988,5.990486
11/01/1988,6.070654
12/01/1988,6.197316
01/01/1989,6.349024
02/01/1989,6.435184
03/01/1989,6.504945
04/01/1989,6.602224
05/01/1989,6.693099
06/01/1989,6.774385
07/01/1989,6.842148
08/01/1989,6.907333
09/01/1989,6.973393
10/01/1989,7.076525
11/01/1989,7.175855
12/01/1989,7.41803
01/01/1990,7.776037
02/01/1990,7.95212
03/01/1990,8.09231
04/01/1990,8.215472
05/01/1990,8.358838
06/01/1990,8.542939
07/01/1990,8.698735
08/01/1990,8.84695
09/01/1990,8.973061
10/01/1990,9.10206
11/01/1990,9.343723
12/01/1990,9.638214
01/01/1991,9.88388
02/01/1991,10.056425
03/01/1991,10.19984
04/01/1991,10.306688
05/01/1991,10.407442
06/01/1991,10.516648
07/01/1991,10.609584
08/01/1991,10.683423
09/01/1991,10.78985
10/01/1991,10.915343
11/01/1991,11.186374
12/01/1991,11.44968
01/01/1992,11.657778
02/01/1992,11.7959
03/01/1992,11.915948
04/01/1992,12.022171
05/01/1992,12.101438
06/01/1992,12.183345
07/01/1992,12.260272
08/01/1992,12.335592
09/01/1992,12.442897
10/01/1992,12.532494
11/01/1992,12.63662
12/01/1992,12.816553
01/01/1993,12.97732
02/01/1993,13.083345
03/01/1993,13.159594
04/01/1993,13.23548
05/01/1993,13.311137
06/01/1993,13.385797
07/01/1993,13.450123
08/01/1993,13.522112
09/01/1993,13.622261
10/01/1993,13.677973
11/01/1993,13.738302
12/01/1993,13.843055
01/01/1994,13.950375
02/01/1994,14.022124
03/01/1994,14.094225
04/01/1994,14.163251
05/01/1994,14.231682
06/01/1994,14.302895
07/01/1994,14.366327
08/01/1994,14.433287
09/01/1994,14.535937
10/01/1994,14.612245
11/01/1994,14.690361
12/01/1994,14.819204
01/01/1995,15.376991
02/01/1995,16.028707
03/01/1995,16.973617
04/01/1995,18.326133
05/01/1995,19.09209
06/01/1995,19.698024
07/01/1995,20.099588
08/01/1995,20.432981
09/01/1995,20.855643
10/01/1995,21.284762
11/01/1995,21.809608
12/01/1995,22.520167
01/01/1996,23.329754
02/01/1996,23.874262
03/01/1996,24.399826
04/01/1996,25.09345
05/01/1996,25.550842
06/01/1996,25.966902
07/01/1996,26.336031
08/01/1996,26.686072
09/01/1996,27.112751
10/01/1996,27.451168
11/01/1996,27.867083
12/01/1996,28.759336
01/01/1997,29.498886
02/01/1997,29.994598
03/01/1997,30.367889
04/01/1997,30.695972
05/01/1997,30.976119
06/01/1997,31.250957
07/01/1997,31.523211
08/01/1997,31.803502
09/01/1997,32.199613
10/01/1997,32.456941
11/01/1997,32.820042
12/01/1997,33.279875
01/01/1998,34.003924
02/01/1998,34.599238
03/01/1998,35.004533
04/01/1998,35.332042
05/01/1998,35.613481
06/01/1998,36.03442
07/01/1998,36.381878
08/01/1998,36.731632
09/01/1998,37.327376
10/01/1998,37.862269
11/01/1998,38.532786
12/01/1998,39.472974
01/01/1999,40.46977
02/01/1999,41.013643
03/01/1999,41.394684
04/01/1999,41.774577
