CICLO,ENTE,RAMO,PROGRAMA,DESCRIPCIÓN,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2013,Órganos Autónomos,Instituto Nacional Electoral,O001,Apoyo a la función pública y al mejoramiento de la gestión,Devengado,97077943.25999999,18433300.279999997,,38100.0,115549343.53999999,,1229600.0,,,1229600.0,116778943.53999999,98.94707045403366,,1.052929545966331
2013,Órganos Autónomos,Instituto Nacional Electoral,O001,Apoyo a la función pública y al mejoramiento de la gestión,Ejercicio,97077943.25999999,18433300.279999997,,38100.0,115549343.53999999,,1229600.0,,,1229600.0,116778943.53999999,98.94707045403366,,1.052929545966331
2013,Órganos Autónomos,Instituto Nacional Electoral,P001,"Planeación, innovación, seguimiento y evaluación",Aprobado,29761779.0,22029715.0,,0.0,51791494.0,,0.0,,,0.0,51791494.0,100.0,,0.0
2013,Órganos Autónomos,Instituto Nacional Electoral,P001,"Planeación, innovación, seguimiento y evaluación",Modificado,24476476.329999994,29104407.269999996,,7500.0,53588383.599999994,,1345263.41,,,1345263.41,54933647.00999999,97.55111214488434,,2.448887855115666
2013,Órganos Autónomos,Instituto Nacional Electoral,P001,"Planeación, innovación, seguimiento y evaluación",Devengado,27732451.330000002,25521698.329999987,,6000.0,53260149.65999999,,1296586.67,,,1296586.67,54556736.32999999,97.62341599365975,,2.376584006340249
2013,Órganos Autónomos,Instituto Nacional Electoral,P001,"Planeación, innovación, seguimiento y evaluación",Ejercicio,27732451.330000002,25521698.329999987,,6000.0,53260149.65999999,,1296586.67,,,1296586.67,54556736.32999999,97.62341599365975,,2.376584006340249
2013,Órganos Autónomos,Instituto Nacional Electoral,R002,Organización electoral federal,Aprobado,370163828.0,49097988.0,,0.0,419261816.0,,151281.0,,,151281.0,419413097.0,99.96393031093162,,0.036069689068388824
2013,Órganos Autónomos,Instituto Nacional Electoral,R002,Organización electoral federal,Modificado,364642955.55,49247911.21999993,,454271.74,414345138.50999993,,355329.03,,,355329.03,414700467.5399999,99.91431670378677,,0.08568329621324258
2013,Órganos Autónomos,Instituto Nacional Electoral,R002,Organización electoral federal,Devengado,364032153.76999986,44795603.70999995,,228810.67,409056568.1499998,,350633.35,,,350633.35,409407201.4999998,99.91435584212603,,0.08564415787395477
2013,Órganos Autónomos,Instituto Nacional Electoral,R002,Organización electoral federal,Ejercicio,364032153.76999986,44795603.70999995,,228810.67,409056568.1499998,,350633.35,,,350633.35,409407201.4999998,99.91435584212603,,0.08564415787395477
2013,Órganos Autónomos,Instituto Nacional Electoral,R003,Capacitación y educación para el ejercicio democrático de la ciudadanía,Aprobado,365210898.0,90794369.0,,17750597.0,473755864.0,,245967.0,,,245967.0,474001831.0,99.94810842829845,,0.05189157170154476
2013,Órganos Autónomos,Instituto Nacional Electoral,R003,Capacitación y educación para el ejercicio democrático de la ciudadanía,Modificado,351093204.00999963,84190719.81000014,,13196134.5,448480058.31999975,,278055.48,,,278055.48,448758113.7999998,99.93803889635655,,0.06196110364344795
2013,Órganos Autónomos,Instituto Nacional Electoral,R003,Capacitación y educación para el ejercicio democrático de la ciudadanía,Devengado,350477658.63999957,77732612.09000005,,12223290.680000002,440433561.4099996,,278055.48,,,278055.48,440711616.8899996,99.93690761274637,,0.06309238725363617
2013,Órganos Autónomos,Instituto Nacional Electoral,R003,Capacitación y educación para el ejercicio democrático de la ciudadanía,Ejercicio,350477658.63999957,77732612.09000005,,12223290.680000002,440433561.4099996,,278055.48,,,278055.48,440711616.8899996,99.93690761274637,,0.06309238725363617
2013,Órganos Autónomos,Instituto Nacional Electoral,R005,Actualización del padrón electoral y expedición de la credencial para votar,Aprobado,1659605616.0,676875633.0,,45714182.0,2382195431.0,,590000.0,,,590000.0,2382785431.0,99.97523906297545,,0.024760937024547385
2013,Órganos Autónomos,Instituto Nacional Electoral,R005,Actualización del padrón electoral y expedición de la credencial para votar,Modificado,1598331888.079999,606551273.4999999,,44880795.33000003,2249763956.909999,,40325375.21000001,,,40325375.21000001,2290089332.119999,98.23913527544929,,1.7608647245507099
2013,Órganos Autónomos,Instituto Nacional Electoral,R005,Actualización del padrón electoral y expedición de la credencial para votar,Devengado,1596232020.2399988,552026204.6899997,,44118385.540000014,2192376610.4699984,,40093628.03000001,,,40093628.03000001,2232470238.4999986,98.20406886781437,,1.795931132185619
2013,Órganos Autónomos,Instituto Nacional Electoral,R005,Actualización del padrón electoral y expedición de la credencial para votar,Ejercicio,1596232020.2399988,552026204.6899997,,44118385.540000014,2192376610.4699984,,40093628.03000001,,,40093628.03000001,2232470238.4999986,98.20406886781437,,1.795931132185619
2013,Órganos Autónomos,Instituto Nacional Electoral,R008,"Dirección, soporte jurídico electoral y apoyo logístico",Aprobado,1057871707.0,73671495.0,,1680000.0,1133223202.0,,280300.0,,,280300.0,1133503502.0,99.97527136003502,,0.024728639964978243
2013,Órganos Autónomos,Instituto Nacional Electoral,R008,"Dirección, soporte jurídico electoral y apoyo logístico",Modificado,1023961352.2400005,69347967.2400001,,5482872.08,1098792191.5600004,,680952.9700000001,,,680952.9700000001,1099473144.5300004,99.93806552043696,,0.06193447956303579
2013,Órganos Autónomos,Instituto Nacional Electoral,R008,"Dirección, soporte jurídico electoral y apoyo logístico",Devengado,1025674341.0400003,65937411.30000004,,4445223.369999999,1096056975.7100003,,680952.9700000001,,,680952.9700000001,1096737928.6800003,99.9379110585863,,0.06208894141370436
2013,Órganos Autónomos,Instituto Nacional Electoral,R008,"Dirección, soporte jurídico electoral y apoyo logístico",Ejercicio,1025674341.0400003,65937411.30000004,,4445223.369999999,1096056975.7100003,,680952.9700000001,,,680952.9700000001,1096737928.6800003,99.9379110585863,,0.06208894141370436
2013,Órganos Autónomos,Instituto Nacional Electoral,R009,"Otorgamiento de prerrogativas a partidos políticos, fiscalización de sus recursos y administración de los tiempos del estado en radio y televisión",Aprobado,257219994.0,199666737.0,,3637723072.0,4094609803.0,,21408391.0,,,21408391.0,4116018194.0,99.47987618151913,,0.5201238184808665
2013,Órganos Autónomos,Instituto Nacional Electoral,R009,"Otorgamiento de prerrogativas a partidos políticos, fiscalización de sus recursos y administración de los tiempos del estado en radio y televisión",Modificado,243484823.79000077,160357956.55,,3670688708.6000004,4074531488.940001,,43185964.75,,,43185964.75,4117717453.690001,98.95121592883213,,1.0487840711678715
2013,Órganos Autónomos,Instituto Nacional Electoral,R009,"Otorgamiento de prerrogativas a partidos políticos, fiscalización de sus recursos y administración de los tiempos del estado en radio y televisión",Devengado,243484823.79000077,83800608.41999994,,3670907063.84,3998192496.0500007,,41974122.7,,,41974122.7,4040166618.7500005,98.96107941426965,,1.0389205857303605
2013,Órganos Autónomos,Instituto Nacional Electoral,R009,"Otorgamiento de prerrogativas a partidos políticos, fiscalización de sus recursos y administración de los tiempos del estado en radio y televisión",Ejercicio,243484823.79000077,83800608.41999994,,3670907063.84,3998192496.0500007,,41974122.7,,,41974122.7,4040166618.7500005,98.96107941426965,,1.0389205857303605
2013,Órganos Autónomos,Instituto Nacional Electoral,R010,Vinculación con la sociedad,Aprobado,108607533.0,53669955.0,,6411749.0,168689237.0,,1106379.0,,,1106379.0,169795616.0,99.34840543821815,,0.6515945617818543
