CICLO,ENTE,RAMO,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2013,Poder Judicial,Tribunal Electoral del Poder Judicial de la Federación,Ejercicio,1699431185.0,334563818.0,,17461456.0,2051456459.0,,94328239.0,,,94328239.0,2145784698.0,95.60402126607019,,4.395978733929811
2013,Órganos Autónomos,Instituto Nacional Electoral,Aprobado,4944952176.0,2138801962.0,,3714462973.0,10798217111.0,,221631069.0,,,221631069.0,11019848180.0,97.9888010671305,,2.011198932869509
2013,Órganos Autónomos,Instituto Nacional Electoral,Modificado,4733562154.270001,2023523561.2499998,,4261202081.5500007,11018287797.070002,,126406579.19999999,,,126406579.19999999,11144694376.270002,98.86576899345798,,1.1342310065420276
2013,Órganos Autónomos,Instituto Nacional Electoral,Devengado,4734742258.5,1808715848.4099994,,4260835674.1800003,10804293781.09,,124860054.36,,,124860054.36,10929153835.45,98.8575505822326,,1.1424494177673816
2013,Órganos Autónomos,Instituto Nacional Electoral,Ejercicio,4734742258.5,1808715848.4099994,,4260835674.1800003,10804293781.09,,124860054.36,,,124860054.36,10929153835.45,98.8575505822326,,1.1424494177673816
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,Aprobado,1542493914.0,532215140.0,,5868032.0,2080577086.0,,57606644.0,,,57606644.0,2138183730.0,97.30581412664664,,2.6941858733533626
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,Modificado,1570462311.4199994,506133471.4599992,,3981303.12,2080577085.9999986,,69859404.03999999,,,69859404.03999999,2150436490.0399985,96.75138492284883,,3.2486150771511784
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,Devengado,1598361535.0399976,439276559.74999976,,4019483.12,2041657577.9099972,,108186992.73000002,,,108186992.73000002,2149844570.6399975,94.9676830498591,,5.0323169501408795
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,Ejercicio,1598361535.0399976,439276559.74999976,,4019483.12,2041657577.9099972,,108186992.73000002,,,108186992.73000002,2149844570.6399975,94.9676830498591,,5.0323169501408795
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,Aprobado,991115747.0,296216811.0,,30263486.0,1317596044.0,,57531176.0,,,57531176.0,1375127220.0,95.81630156372005,,4.183698436279954
